order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,year,month,day,day_of_week,is_weekend,is_holiday,sales_chan,season,ord_qty
2015-09-02,104,20028,301,405,offline,1005.0,2015,9,2,2,0,0,0,3,11
2015-09-03,102,20354,303,401,offline,1420.0,2015,9,3,3,0,1,0,3,64
2015-09-04,101,20586,306,407,offline,978.0,2015,9,4,4,0,1,0,3,7
2015-09-04,101,20230,306,407,offline,864.0,2015,9,4,4,0,1,0,3,66
2015-09-04,105,21619,306,402,online,274.0,2015,9,4,4,0,1,1,3,102
2015-09-04,102,21610,306,407,offline,614.0,2015,9,4,4,0,1,0,3,452
2015-09-04,101,21484,305,412,offline,307.0,2015,9,4,4,0,1,0,3,69
2015-09-04,103,20283,306,407,offline,605.0,2015,9,4,4,0,1,0,3,168
2015-09-04,102,21271,306,407,offline,471.0,2015,9,4,4,0,1,0,3,153
2015-09-04,103,20591,302,408,offline,483.0,2015,9,4,4,0,1,0,3,803
2015-09-04,103,20996,306,407,offline,434.0,2015,9,4,4,0,1,0,3,1009
2015-09-04,102,21469,302,408,offline,423.0,2015,9,4,4,0,1,0,3,9
2015-09-04,102,20283,306,407,offline,616.0,2015,9,4,4,0,1,0,3,358
2015-09-04,103,21412,302,408,offline,678.0,2015,9,4,4,0,1,0,3,97
2015-09-05,102,20092,306,407,offline,729.0,2015,9,5,5,1,1,0,3,203
2015-09-05,104,21183,307,403,online,430.0,2015,9,5,5,1,1,1,3,145
2015-09-05,105,21744,302,408,online,568.0,2015,9,5,5,1,1,1,3,604
2015-09-05,102,20481,306,407,offline,497.0,2015,9,5,5,1,1,0,3,103
2015-09-05,102,21519,303,401,offline,1024.0,2015,9,5,5,1,1,0,3,53
2015-09-05,102,20594,303,401,offline,2087.0,2015,9,5,5,1,1,0,3,13
2015-09-05,102,20518,305,412,offline,1061.0,2015,9,5,5,1,1,0,3,18
2015-09-05,102,20964,306,407,offline,1328.0,2015,9,5,5,1,1,0,3,23
2015-09-05,102,21858,306,407,offline,1117.0,2015,9,5,5,1,1,0,3,23
2015-09-05,101,20283,306,407,offline,603.0,2015,9,5,5,1,1,0,3,52
2015-09-05,103,21745,303,401,offline,1717.0,2015,9,5,5,1,1,0,3,466
2015-09-05,101,21601,306,407,offline,533.0,2015,9,5,5,1,1,0,3,1008
2015-09-05,102,21703,305,412,offline,410.0,2015,9,5,5,1,1,0,3,57
2015-09-05,101,20973,306,407,offline,535.0,2015,9,5,5,1,1,0,3,606
2015-09-06,103,20043,302,408,offline,1201.0,2015,9,6,6,1,0,0,3,15
2015-09-06,103,21825,302,408,offline,862.0,2015,9,6,6,1,0,0,3,57
2015-09-06,103,20174,303,401,offline,1662.0,2015,9,6,6,1,0,0,3,39
2015-09-06,103,20973,306,407,offline,539.0,2015,9,6,6,1,0,0,3,35
2015-09-06,102,20483,305,412,offline,311.0,2015,9,6,6,1,0,0,3,59
2015-09-06,102,21745,303,401,offline,1714.0,2015,9,6,6,1,0,0,3,16
2015-09-06,103,21271,306,407,offline,467.0,2015,9,6,6,1,0,0,3,659
2015-09-06,104,20944,301,405,online,496.0,2015,9,6,6,1,0,1,3,53
2015-09-06,105,20560,306,407,online,781.0,2015,9,6,6,1,0,1,3,11
2015-09-06,102,20717,303,401,offline,2366.0,2015,9,6,6,1,0,0,3,41
2015-09-06,102,20518,305,412,offline,1061.0,2015,9,6,6,1,0,0,3,102
2015-09-06,105,21619,306,402,online,270.0,2015,9,6,6,1,0,1,3,1207
2015-09-06,103,21271,306,407,offline,462.0,2015,9,6,6,1,0,0,3,206
2015-09-06,102,20620,302,408,offline,1517.0,2015,9,6,6,1,0,0,3,18
2015-09-06,102,21395,302,408,offline,906.0,2015,9,6,6,1,0,0,3,13
2015-09-06,102,20026,302,408,offline,1603.0,2015,9,6,6,1,0,0,3,13
2015-09-06,102,21601,306,407,offline,528.0,2015,9,6,6,1,0,0,3,57
2015-09-06,102,20586,306,407,offline,964.0,2015,9,6,6,1,0,0,3,28
2015-09-06,102,20230,306,407,offline,863.0,2015,9,6,6,1,0,0,3,28
2015-09-06,102,22047,306,407,offline,1000.0,2015,9,6,6,1,0,0,3,21
2015-09-06,101,22041,306,407,offline,802.0,2015,9,6,6,1,0,0,3,33
2015-09-06,101,20092,306,407,offline,730.0,2015,9,6,6,1,0,0,3,77
2015-09-06,101,20498,306,407,offline,677.0,2015,9,6,6,1,0,0,3,165
2015-09-06,103,21271,306,407,offline,464.0,2015,9,6,6,1,0,0,3,987
2015-09-06,101,20096,306,407,offline,950.0,2015,9,6,6,1,0,0,3,66
2015-09-06,102,20283,306,407,offline,601.0,2015,9,6,6,1,0,0,3,61
2015-09-06,103,20230,306,407,offline,865.0,2015,9,6,6,1,0,0,3,22
2015-09-06,101,20996,306,407,offline,438.0,2015,9,6,6,1,0,0,3,54
2015-09-06,101,20260,306,407,offline,615.0,2015,9,6,6,1,0,0,3,52
2015-09-06,101,21271,306,407,offline,460.0,2015,9,6,6,1,0,0,3,154
2015-09-06,101,20855,306,407,offline,1562.0,2015,9,6,6,1,0,0,3,14
2015-09-06,101,21297,306,407,offline,1210.0,2015,9,6,6,1,0,0,3,104
2015-09-06,101,21519,303,401,offline,1027.0,2015,9,6,6,1,0,0,3,67
2015-09-06,101,21742,303,401,offline,3011.0,2015,9,6,6,1,0,0,3,23
2015-09-07,101,21517,306,407,offline,853.0,2015,9,7,0,0,0,0,3,9
2015-09-07,105,20637,306,407,online,1062.0,2015,9,7,0,0,0,1,3,8
2015-09-07,105,20323,305,412,online,100.0,2015,9,7,0,0,0,1,3,83
2015-09-07,105,20374,305,412,online,119.0,2015,9,7,0,0,0,1,3,26
2015-09-07,102,20586,306,407,offline,968.0,2015,9,7,0,0,0,0,3,34
2015-09-07,102,21819,306,402,offline,264.0,2015,9,7,0,0,0,0,3,102
2015-09-07,102,22041,306,407,offline,808.0,2015,9,7,0,0,0,0,3,106
2015-09-07,102,20586,306,407,offline,974.0,2015,9,7,0,0,0,0,3,107
2015-09-07,102,20481,306,407,offline,504.0,2015,9,7,0,0,0,0,3,151
2015-09-07,102,21542,306,407,offline,669.0,2015,9,7,0,0,0,0,3,12
2015-09-07,102,20608,302,408,offline,1215.0,2015,9,7,0,0,0,0,3,13
2015-09-07,102,20973,306,407,offline,547.0,2015,9,7,0,0,0,0,3,302
2015-09-07,105,20657,303,410,offline,2999.0,2015,9,7,0,0,0,0,3,13
2015-09-07,102,20230,306,407,offline,871.0,2015,9,7,0,0,0,0,3,106
2015-09-07,102,20498,306,407,offline,683.0,2015,9,7,0,0,0,0,3,102
2015-09-07,102,21819,306,402,offline,277.0,2015,9,7,0,0,0,0,3,164
2015-09-07,103,21271,306,407,offline,471.0,2015,9,7,0,0,0,0,3,151
2015-09-07,103,21619,306,402,offline,265.0,2015,9,7,0,0,0,0,3,206
2015-09-07,103,21412,302,408,offline,665.0,2015,9,7,0,0,0,0,3,601
2015-09-07,101,20594,303,401,offline,2084.0,2015,9,7,0,0,0,0,3,10
2015-09-07,101,21742,303,401,offline,3004.0,2015,9,7,0,0,0,0,3,3
2015-09-07,102,21858,306,407,offline,1115.0,2015,9,7,0,0,0,0,3,7
2015-09-07,101,21162,306,407,offline,757.0,2015,9,7,0,0,0,0,3,206
2015-09-07,102,20607,306,407,offline,723.0,2015,9,7,0,0,0,0,3,104
2015-09-07,102,21412,302,408,offline,664.0,2015,9,7,0,0,0,0,3,109
2015-09-08,104,22017,301,405,online,715.0,2015,9,8,1,0,0,1,3,6
2015-09-08,104,20512,308,404,online,1485.0,2015,9,8,1,0,0,1,3,35
2015-09-08,104,20003,301,405,online,733.0,2015,9,8,1,0,0,1,3,28
2015-09-08,104,21181,308,404,online,610.0,2015,9,8,1,0,0,1,3,67
2015-09-08,103,20895,306,407,offline,805.0,2015,9,8,1,0,0,0,3,12
2015-09-08,103,21588,303,401,offline,1133.0,2015,9,8,1,0,0,0,3,41
2015-09-08,102,21703,305,412,offline,417.0,2015,9,8,1,0,0,0,3,35
2015-09-08,102,20586,306,407,offline,965.0,2015,9,8,1,0,0,0,3,36
2015-09-08,102,20780,306,407,offline,937.0,2015,9,8,1,0,0,0,3,11
2015-09-08,102,22041,306,407,offline,814.0,2015,9,8,1,0,0,0,3,106
2015-09-08,102,20916,306,407,offline,488.0,2015,9,8,1,0,0,0,3,59
2015-09-08,101,21052,303,401,offline,1501.0,2015,9,8,1,0,0,0,3,105
2015-09-08,101,20174,303,401,offline,1661.0,2015,9,8,1,0,0,0,3,19
2015-09-08,102,20977,302,408,offline,485.0,2015,9,8,1,0,0,0,3,87
2015-09-08,102,21347,303,401,offline,1136.0,2015,9,8,1,0,0,0,3,54
2015-09-08,101,20322,306,407,offline,754.0,2015,9,8,1,0,0,0,3,58
2015-09-08,103,20092,306,407,offline,736.0,2015,9,8,1,0,0,0,3,157
2015-09-08,101,21381,306,407,offline,1023.0,2015,9,8,1,0,0,0,3,157
2015-09-08,102,21121,305,412,offline,251.0,2015,9,8,1,0,0,0,3,43
2015-09-08,102,21271,306,407,offline,476.0,2015,9,8,1,0,0,0,3,509
2015-09-09,102,22001,303,401,offline,1702.0,2015,9,9,2,0,0,0,3,18
2015-09-09,102,21347,303,401,offline,1132.0,2015,9,9,2,0,0,0,3,129
2015-09-09,102,22046,305,412,offline,1202.0,2015,9,9,2,0,0,0,3,46
2015-09-09,102,20226,303,401,offline,938.0,2015,9,9,2,0,0,0,3,106
2015-09-09,102,21869,306,407,offline,915.0,2015,9,9,2,0,0,0,3,26
2015-09-09,103,20973,306,407,offline,533.0,2015,9,9,2,0,0,0,3,459
2015-09-09,103,20092,306,407,offline,738.0,2015,9,9,2,0,0,0,3,153
2015-09-09,103,20260,306,407,offline,618.0,2015,9,9,2,0,0,0,3,108
2015-09-09,103,21003,306,407,offline,598.0,2015,9,9,2,0,0,0,3,105
2015-09-09,103,20008,303,401,offline,662.0,2015,9,9,2,0,0,0,3,12
2015-09-09,102,21003,306,407,offline,609.0,2015,9,9,2,0,0,0,3,408
2015-09-09,104,20085,301,405,online,913.0,2015,9,9,2,0,0,1,3,22
2015-09-09,104,20862,307,403,online,537.0,2015,9,9,2,0,0,1,3,27
2015-09-09,104,21246,307,403,online,549.0,2015,9,9,2,0,0,1,3,25
2015-09-09,104,21088,301,405,online,775.0,2015,9,9,2,0,0,1,3,15
2015-09-09,105,20413,306,407,online,833.0,2015,9,9,2,0,0,1,3,148
2015-09-09,104,20003,301,405,online,744.0,2015,9,9,2,0,0,1,3,165
2015-09-09,102,20092,306,407,offline,738.0,2015,9,9,2,0,0,0,3,207
2015-09-09,102,21442,302,408,offline,790.0,2015,9,9,2,0,0,0,3,25
